source,target,weight,type
8275,13513,1,follow
8275,12412,1,follow
8275,16410,1,follow
8275,6465,1,like
8275,9753,1,follow
8275,13870,1,like
8275,10634,1,like
8275,6567,1,follow
8275,8312,2,like
8275,7359,1,follow
8277,12033,1,follow
8277,8050,2,like
8277,6366,1,like
8277,7182,1,follow
8277,11930,1,like
8277,9630,1,like
8277,12412,2,like
8277,6465,1,follow
8277,16160,1,follow
8277,7977,1,like
8277,9743,1,like
8277,8312,1,follow
8277,6622,1,like
8277,15168,2,dislike
8277,13980,1,follow
8277,8277,1,like
86,11614,1,follow
86,12412,1,follow
86,9534,1,follow
86,90,1,follow
86,6311,1,follow
86,263,1,like
86,10787,1,like
86,8802,1,like
86,1103,1,follow
86,16232,1,like
86,6331,1,dislike
86,19209,1,follow
87,283,2,dislike
87,11620,1,dislike
87,2872,1,like
87,13879,2,dislike
87,17039,1,like
87,14459,1,follow
87,2281,1,follow
87,11559,1,follow
87,117,1,follow
87,14063,1,like
87,10466,1,follow
87,6288,1,like
87,11934,1,follow
87,15765,1,follow
87,16676,1,like
87,2734,1,like
87,1027,1,follow
87,19363,1,dislike
87,14478,1,like
87,14538,1,like
87,2224,2,like
87,16036,1,follow
87,8782,1,like
87,14895,1,follow
87,10271,1,like
87,8817,1,like
87,13998,1,like
87,6334,1,dislike
87,2738,1,dislike
87,7399,2,like
87,2993,1,like
87,16200,1,dislike
87,87,1,dislike
87,8756,1,like
87,9633,1,follow
87,7069,1,like
87,3250,1,follow
87,13883,1,like
87,14808,1,like
87,6898,1,follow
87,8766,1,like
87,7088,1,follow
87,7089,1,like
87,8036,1,like
87,15249,1,dislike
87,7769,1,follow
87,16880,1,like
87,8872,1,follow
87,1810,1,like
87,10947,1,like
87,13499,1,dislike
87,15040,1,like
87,16573,1,like
87,7827,1,like
87,14446,1,follow
87,1059,1,follow
87,6465,1,like
87,14488,1,like
87,6323,1,dislike
87,17066,1,follow
88,11139,1,follow
88,7748,1,like
88,19873,1,like
88,8901,1,like
88,2226,1,follow
88,11597,1,like
88,16125,1,follow
88,11936,1,follow
88,16193,1,like
88,15249,1,like
88,20435,1,follow
88,1214,1,follow
88,369,1,follow
88,15040,1,follow
88,17045,1,follow
88,9534,1,follow
88,986,1,like
88,14163,1,follow
88,10193,1,like
88,15932,1,dislike
88,17079,1,like
88,2933,1,like
88,14478,1,dislike
88,14159,1,dislike
88,6298,1,follow
88,8882,1,like
90,10717,1,follow
90,90,2,like
90,11800,1,follow
90,17444,1,follow
90,16352,1,follow
8282,19873,1,follow
8282,8282,1,like
8282,12104,1,follow
8282,20689,1,like
8282,15375,1,follow
8282,6599,1,dislike
8282,12412,1,like
8286,8286,2,like
8286,11950,1,follow
8286,1103,1,follow
8286,13385,1,like
8286,3793,1,follow
8286,8817,1,like
8286,15081,1,follow
8286,12064,1,like
16485,12412,1,follow
16485,9623,1,follow
16485,13498,1,follow
16486,1064,2,like
16486,15680,1,follow
16486,9068,1,follow
16486,15249,1,unfollow
16486,11871,1,follow
16486,14163,1,follow
16486,7639,3,follow
16486,16486,4,like
16486,20748,1,like
16486,13998,1,like
16486,10689,2,dislike
16486,1848,1,follow
16486,11961,1,follow
16486,19209,1,follow
16486,19366,1,follow
16486,14855,1,dislike
16486,9884,1,like
16486,19291,1,follow
16486,10641,1,like
16486,11262,1,like
16486,10793,1,follow
16486,8166,1,follow
16486,10553,1,like
16486,340,1,follow
16486,2224,1,follow
16486,9768,1,like
16486,16180,1,dislike
16486,15450,1,like
16486,8026,1,like
16486,584,1,dislike
16486,17194,1,dislike
16486,14268,1,like
16486,13945,1,dislike
16486,10043,1,follow
16486,12412,1,dislike
16486,16464,1,like
16486,14095,1,dislike
16486,1047,1,like
16486,9820,1,follow
16486,12255,2,like
16486,6898,1,follow
16486,3250,1,follow
16486,15040,1,like
16486,9053,1,dislike
16486,15303,1,dislike
16486,6577,1,like
16486,13834,1,like
16486,6825,1,follow
16486,14336,1,follow
16486,15561,1,like
8295,14451,1,like
8295,8318,1,follow
8295,8877,1,follow
8295,19873,1,like
8295,14849,1,follow
8295,6292,1,like
8295,8312,1,follow
8295,8782,1,like
8296,16676,1,follow
8296,9068,1,like
8296,16125,2,like
8296,10254,1,follow
8296,8970,1,like
8296,7399,1,like
8296,9656,1,like
8296,9939,1,follow
8296,8729,1,follow
8296,8312,1,follow
8296,17151,1,follow
8296,6599,1,follow
8296,6648,1,follow
8296,6332,1,follow
8296,960,1,like
8296,14644,1,dislike
8296,12412,1,follow
16489,16487,1,follow
16489,1027,1,dislike
16487,14538,1,like
103,10335,1,follow
103,11276,1,follow
103,15244,1,follow
103,11985,1,like
103,103,1,like
103,11850,1,like
103,13998,1,like
103,14907,1,like
103,14855,1,like
8300,8439,1,like
8301,1349,1,like
8301,12412,1,follow
8301,7086,1,follow
8301,13998,1,like
8301,8044,1,dislike
8301,8301,1,like
8301,16660,1,like
8301,13883,1,follow
8301,432,1,follow
8301,7900,1,dislike
8301,8417,1,like
8301,6930,1,follow
8301,2281,1,like
8301,18527,1,dislike
8301,17066,1,follow
8301,20748,1,like
8301,7614,1,dislike
8301,14432,1,like
8301,17004,1,follow
8301,7206,1,follow
8301,13830,1,follow
16492,1807,2,unfollow
16492,15014,1,like
16492,15918,1,follow
16492,8036,1,follow
16492,14456,1,dislike
16492,7456,5,follow
16492,13074,1,follow
16492,16443,1,follow
16492,12412,1,follow
16492,9633,2,follow
16492,16492,2,like
16492,7399,1,follow
16492,14282,1,like
16492,12426,1,follow
16492,9891,1,follow
16492,13654,1,like
16492,13552,1,follow
16492,20489,1,like
16492,13823,1,dislike
16492,14842,1,dislike
16492,8760,1,dislike
16492,8789,1,follow
16492,10050,1,dislike
16492,14895,1,follow
16492,8948,1,follow
16492,15168,1,dislike
16492,2281,1,like
16492,17383,1,follow
